u,v,distance_m
5427967031,5427967025,126.0
5427967032,2975231291,5.0
5427967043,5422257281,90.0
5427967046,4069715678,44.0
30946384,331167815,47.0
30946386,331167815,49.0
774517861,775941588,16.0
774517861,774517574,7.0
579482827,579485835,30.0
6167344360,6167254928,5.0
6167344360,6167254927,41.0
6167344361,120947918,41.0
6167344362,6167344363,8.0
6167344362,6167191739,5.0
6167344364,6167265869,207.0
6167344364,6167344365,4.0
6167344365,6167344366,4.0
6167344367,6167191156,5.0
6167344367,6167344366,6.0
6167344368,176736536,21.0
6167344368,6167344367,106.0
6167344369,6167344368,42.0
6167344370,6167344369,31.0
6167344372,6167265878,208.0
6167344376,245532558,23.0
6167344377,6167236684,22.0
6167344378,595594353,22.0
6167344380,6167236662,86.0
6167344384,6167266648,157.0
6167344384,6167289316,8.0
6167344384,6167344485,10.0
577516814,577516867,20.0
30946627,767724090,10.0
6167344485,6167344486,5.0
6167344486,4238873971,168.0
6167344486,6167344487,4.0
6167344487,6167344488,6.0
6167344488,6167344489,6.0
6167344489,6167289298,121.0
6167344489,6167344491,146.0
6167344491,6167344492,54.0
6167344492,6167344507,9.0
6167344493,6167289301,7.0
6167344493,6167344500,114.0
6167344494,6167344493,6.0
6167344496,6167344486,28.0
6167344496,6167344497,5.0
6167344497,2181268830,7.0
6167344498,6167289317,7.0
6167344498,6167289315,26.0
6167344498,6167344497,10.0
6167344500,319157143,62.0
6167344505,1833110319,8.0
6167344507,5371634609,40.0
6167344507,6167344508,11.0
6167344508,6167344511,11.0
6167344511,291210712,84.0
6167344515,6167236664,6.0
6167344517,1985557927,6.0
6167344518,6167236682,6.0
6167344520,1985557912,5.0
6167344520,6167417965,105.0
6167344521,6167344522,13.0
6167344522,6167413253,7.0
6167344525,1985557931,6.0
6167344527,6167191154,42.0
6167344532,6167344364,27.0
6167344535,1985557921,6.0
6167344538,6167236668,63.0
6167344540,595594349,29.0
6167344541,6167236679,30.0
6167344542,247018054,21.0
6167344546,4238873973,101.0
6167344548,595842978,57.0
6167344549,6167191152,6.0
6167344552,6167344553,4.0
6167344552,2247277141,174.0
6167344553,6167344554,9.0
6167344553,2180785594,125.0
6167344554,6167344555,27.0
6167344555,6167344556,76.0
6167344556,247025142,32.0
6167344556,6167344557,76.0
6167344557,6167344558,28.0
6167344558,6167254931,6.0
6167344558,6167254938,122.0
6167344558,6167344559,6.0
6167344559,6167344560,8.0
6167344559,6167344558,6.0
6167344560,1449431218,8.0
6167344560,6167344561,1.0
6167344561,6167344562,3.0
6167344561,6167344560,1.0
6167344562,576878119,7.0
6167344562,6167344563,2.0
6167344562,6167344561,3.0
6167344563,6167344564,6.0
6167344564,582800719,7.0
6167344564,6167254946,115.0
581711294,581710139,26.0
6167344576,6167344579,54.0
6167344579,741702223,8.0
6167344579,582800720,7.0
6167344580,1449431604,4.0
6167344580,1449431614,195.0
6167344581,6167344580,7.0
6167344582,6167254933,92.0
6167344582,6167254932,7.0
6167344582,6167344581,6.0
6167344583,6167344582,62.0
6167344584,2384091391,7.0
6167344584,6167344583,42.0
6167344585,6167344584,49.0
6167344586,6167344585,54.0
6167344588,6167344552,26.0
6167344591,6167191149,4.0
6167344592,589402289,6.0
6167344592,6167344591,106.0
6167344596,2188399789,6.0
6167344600,589402268,6.0
6167344601,6167236677,6.0
6167344602,595594347,6.0
6167344604,3367904396,6.0
2455254505,4973179170,3998.0
2269263377,2174963241,5.0
2269263377,6167191717,2.0
443299470,2692003115,7.0
576861863,252587628,4.0
774518617,774519013,9.0
774518617,774517861,15.0
774518620,774518617,14.0
302135272,4297530226,2.0
302135272,224750459,53.0
302135272,4297530227,41.0
302135273,233555377,54.0
302135273,4297530226,165.0
302135273,527842694,73.0
1458422269,1458422312,9.0
5635979269,5257193650,1.0
277362770,30948162,8.0
277362806,1546958636,332.0
277362806,723975301,49.0
277362814,4283908188,16.0
30947457,477081585,64.0
30947458,1725216573,10.0
2935371904,2935371913,48.0
2935371911,2935371922,7.0
2935371913,2935358343,285.0
2935371922,2935371908,40.0
1458422298,1458422312,7.0
1458422301,1463620925,12.0
30947521,4952477290,60.0
1458422312,1459448709,11.0
1458422312,30287654,4.0
1458422313,1458422264,121.0
774519013,711369697,17.0
774519013,774508242,18.0
6131956011,5727168130,10.0
6131956019,6131956011,108.0
6131956021,746922230,11.0
6131956024,746924542,56.0
6131956072,6131956024,97.0
30947751,356099095,38.0
30947751,440051942,8.0
277363204,781116475,96.0
277363224,299023766,156.0
577518118,577518117,43.0
577518122,267350505,31.0
577518122,577523837,42.0
577518129,577518122,84.0
30947901,2237521759,9.0
30947901,4283908165,2.0
30947902,4315827362,3.0
30947903,4315827371,2.0
30947904,1463656488,2.0
30947904,248746740,53.0
103299651,145261423,29.0
111295073,4423038318,16.0
30947983,250480649,50.0
30947983,705744124,5.0
30947984,5167159984,40.0
30947985,4283908173,2.0
30947985,250480649,39.0
30948030,248746739,66.0
30948028,410105024,86.0
6245726959,1681675832,45.0
30948116,2013560660,24.0
30948117,1463620781,73.0
332544824,332544825,10.0
332544825,702354055,33.0
332544825,30942256,12.0
30948162,30948116,101.0
30948162,610682568,52.0
30948166,1463620411,6.0
30948166,2481930758,56.0
5797722962,5797722961,26.0
30948182,1463620505,5.0
332544859,3215106462,38.0
332544859,332544912,12.0
332544860,30942265,13.0
332544866,332546017,96.0
332544910,332544859,40.0
332544912,3394730436,32.0
332544912,332544866,12.0
2207661088,2207661122,4.0
589708326,589742841,6.0
589708331,589708326,8.0
589708331,2459914486,20.0
2207661109,4460254041,81.0
589708344,2174963251,9.0
2207661117,2207663839,5.0
2207661122,2207661117,4.0
130038870,5556315220,82.0
4735909080,4735909079,18.0
4735909090,4735909080,17.0
5457984809,5231691614,67.0
5457984810,5457984809,3.0
5680151853,266739118,134.0
5680151853,2347234664,435.0
5680151853,582798861,41.0
332152166,4936954236,44.0
332152172,3775020762,62.0
527842694,30220702,50.0
527842694,302135273,73.0
248266235,1668524207,221.0
248266307,1358380090,48.0
313278043,313278044,26.0
313278043,313278047,118.0
313278047,6167441033,43.0
845692519,846546205,2.0
845692519,993190002,17.0
845692519,1905004354,15.0
92159611,591432618,3.0
92159611,4398346301,31.0
92159611,1715989182,195.0
130039434,3555805908,20.0
845692578,846546788,4.0
845692578,846546192,5.0
845692578,846546859,13.0
92159669,591407999,26.0
4315299520,440051909,114.0
4315299528,248746967,50.0
2621587160,492939898,102.0
3775020762,332152166,56.0
2621587187,299024279,50.0
313278197,3213448172,70.0
2621587189,2621587187,49.0
2621587191,2621587189,161.0
2621587191,299024283,75.0
2621587200,1093410235,8.0
2621587200,2272186202,74.0
313278217,2451926620,56.0
313278217,3213448162,44.0
3218226975,387152936,126.0
3218226979,3218226991,10.0
3218226980,3218226982,11.0
3218226982,702352972,26.0
3218226989,3218226980,22.0
313278255,313278197,35.0
3218226991,3218226989,31.0
3218226996,3218226979,51.0
3218226997,387152925,48.0
3218226997,5797758281,90.0
3218226999,3218226997,33.0
